Game,Platform,Release_Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,MetaScore,UserReview
428: fuusa sareta shibuya de,Wii,2008.0,Adventure,Sega,0.0,0.0,0.13,0.0,0.13,,
4x4 evo 2,GC,2002.0,Racing,Vivendi Games,0.11,0.03,0.0,0.0,0.14,56.0,8.2
4x4 evo 2,XB,2001.0,Racing,Gathering of Developers,0.36,0.1,0.0,0.02,0.48,64.0,6.5
4x4 evolution,PS2,2001.0,Racing,Gathering of Developers,0.16,0.12,0.0,0.04,0.32,64.0,7.3
50 cent: blood on the sand,PS3,2009.0,Shooter,THQ,0.2,0.12,0.02,0.06,0.38,71.5,6.6
50 cent: blood on the sand,X360,2009.0,Shooter,THQ,0.24,0.14,0.0,0.04,0.42,71.5,6.6
50 cent: bulletproof,PS2,2005.0,Action,Vivendi Games,1.7,1.52,0.0,0.32,3.54,48.5,6.1
50 cent: bulletproof,PSP,2006.0,Action,Vivendi Games,0.08,0.0,0.0,0.01,0.09,,
50 cent: bulletproof,XB,2005.0,Action,Vivendi Games,0.66,0.2,0.0,0.04,0.88,48.5,6.1
50 classic games,3DS,2012.0,Misc,Avanquest Software,0.0,0.02,0.0,0.0,0.02,,
50 classic games,DS,2009.0,Misc,Destineer,0.52,0.0,0.0,0.04,0.55,,
64 de hakken! tamagotchi minna de tamagotchi world,N64,1997.0,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,
7 days to die,PS4,2016.0,Action,Telltale Games,0.06,0.14,0.0,0.04,0.24,40.0,5.9
7 days to die,XOne,2016.0,Action,Telltale Games,0.04,0.04,0.0,0.0,0.08,40.0,5.9
7 roses: a darkness rises,PC,2015.0,Misc,Avanquest Software,0.0,0.02,0.0,0.0,0.02,,
7 wonders ii,DS,2009.0,Puzzle,Rondomedia,0.14,0.15,0.0,0.03,0.32,,
7 wonders of the ancient world,DS,2007.0,Puzzle,Funsta,0.2,0.02,0.0,0.02,0.26,55.5,8.3
7 wonders of the ancient world,PSP,2007.0,Puzzle,Mumbo Jumbo,0.14,0.0,0.0,0.02,0.16,55.5,8.3
7 wonders: treasures of seven,DS,2011.0,Puzzle,Avanquest,0.02,0.03,0.0,0.01,0.05,,
7th dragon,DS,2009.0,Role-Playing,Sega,0.0,0.0,0.14,0.0,0.14,,
7th dragon 2020,PSP,2011.0,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,,
7th dragon 2020-ii,PSP,2013.0,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,,
7th dragon iii code: vfd,3DS,2015.0,Role-Playing,Sega,0.03,0.0,0.12,0.0,0.16,,
99 no namida,DS,2008.0,Adventure,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,
"999: nine hours, nine persons, nine doors",DS,2009.0,Adventure,ChunSoft,0.37,0.0,0.03,0.03,0.43,,
[prototype 2],PC,2012.0,Action,Activision,0.07,0.02,0.0,0.01,0.1,,
[prototype 2],PS3,2012.0,Action,Activision,0.36,0.28,0.0,0.11,0.75,,
[prototype 2],X360,2012.0,Action,Activision,0.48,0.25,0.0,0.07,0.8,,
[prototype],PS3,2009.0,Action,Activision,0.65,0.41,0.0,0.19,1.24,,
[prototype],X360,2009.0,Action,Activision,0.84,0.35,0.0,0.12,1.31,,
a boy and his blob,Wii,2009.0,Platform,Majesco Entertainment,0.19,0.02,0.0,0.02,0.22,80.0,8.4
a bug's life,N64,1998.0,Platform,Activision,0.49,0.13,0.0,0.01,0.63,,
a bug's life,PS,1998.0,Platform,Sony Computer Entertainment,1.96,0.72,0.0,0.11,2.79,,
a collection of activision classic games for the atari 2600,PS,1998.0,Misc,Activision,0.76,0.52,0.0,0.09,1.37,,
a collection of classic games from the intellivision,PS,1999.0,Misc,Activision,0.17,0.12,0.0,0.02,0.31,,
a game of thrones: genesis,PC,2011.0,Strategy,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04,53.0,4.1
a good librarian like a good shepherd: library party,PSV,2015.0,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03,,
a lli s.v.: a ressha de gyoukou 3 super version,SNES,1995.0,Simulation,Pack-In-Video,0.0,0.0,0.06,0.0,0.06,,
a new beginning,PC,2010.0,Adventure,Deep Silver,0.0,0.05,0.0,0.01,0.06,,
a ressha de gyoukou 2001,PS2,2001.0,Simulation,ArtDink,0.0,0.0,0.03,0.0,0.03,,
a ressha de ikou ds,DS,2009.0,Simulation,ArtDink,0.0,0.0,0.04,0.0,0.04,,
a vampyre story,PC,2008.0,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02,,
a witch's tale,DS,2009.0,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,50.0,7.0
a-train,PS,1995.0,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08,,
a-train 6,PS2,2000.0,Strategy,Midas Interactive Entertainment,0.0,0.0,0.06,0.0,0.06,,
a-train: city simulator,3DS,2014.0,Simulation,ArtDink,0.0,0.0,0.06,0.0,0.06,,
a. iv evolution: a ressha de ikou 4,PS,1994.0,Strategy,ArtDink,0.0,0.0,0.24,0.02,0.25,,
a.c.e.: another century's episode,PS2,2005.0,Simulation,Banpresto,0.0,0.0,0.26,0.0,0.26,,
a.c.e.: another century's episode 2,PS2,2006.0,Simulation,Banpresto,0.0,0.0,0.18,0.0,0.18,,
a.c.e.: another century's episode 3: the final,PS2,2007.0,Simulation,Banpresto,0.0,0.0,0.26,0.0,0.26,,
a.c.e.: another century's episode portable,PSP,2011.0,Simulation,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,
a.c.e.: another century's episode r,PS3,2010.0,Simulation,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,,
aa megami-samaa,PS2,2007.0,Adventure,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01,,
abba: you can dance,Wii,2011.0,Misc,Ubisoft,0.19,0.5,0.0,0.11,0.8,,
abunai: koi no sousa shitsu,PSP,2012.0,Action,Quinrose,0.0,0.0,0.01,0.0,0.01,,
abunai: koi no sousa shitsu,PSV,2015.0,Action,Asgard,0.0,0.0,0.02,0.0,0.02,,
ac/dc live: rock band track pack,PS2,2008.0,Misc,MTV Games,0.16,0.12,0.0,0.04,0.32,61.5,5.199999999999999
ac/dc live: rock band track pack,PS3,2008.0,Misc,MTV Games,0.42,0.02,0.0,0.04,0.48,61.5,5.199999999999999
ac/dc live: rock band track pack,Wii,2008.0,Misc,MTV Games,0.5,0.0,0.0,0.04,0.56,61.5,5.199999999999999
